Stock	ปี (พ.ศ.)	Year (ค.ศ.)	REVENUE	COGS	Gross Profit	EBIT	EBITDA	NI	INT	EPS	Operating CF	Capital Expenditure	Free Cash Flow	Total Assets	Total Equity	Total Debt	Current Assets	Current Liabilities	Cash Equivalent	Inventory	Accounts Receivable	Accounts Payable	Fixed Assets	Gross Margin (%)	Operating Margin (%)	EBITDA Margin (%)	Net Margin (%)	ROA (%)	ROE (%)	D/E (x)	Current Ratio (x)	Quick Ratio (x)	Interest Coverage (x)
ADVANC	2566	2023	1.88873E+11	1.25387E+11	63486186455	35997897523	88899890237	29088933826	-6144918614	9.78	81404917359	-42995857468	38409059891	41837525700	90577119846	1.33647E+11	41837525700	1.33647E+11	14743575145	4147217430	21343330899	37674111366	1.39224E+11	33.61317734	19.05932268	47.0686293	15.40132659	69.52833214	32.11510134	1.475500127	0.313046054	0.270017487	-5.858156924
ADVANC	2567	2024	2.13569E+11	1.35394E+11	78175026334	43068989257	1.04297E+11	35077194974	-9184936058	11.79	1.16622E+11	-36931702983	79690449472	50026613949	97222422577	1.0355E+11	50026613949	1.0355E+11	22607068816	5066522957	18916091590	39662605489	1.26999E+11	36.60405077	20.16627999	48.83511193	16.42426598	70.11706811	36.07932619	1.065082852	0.48311584	0.400996489	-4.689089721
ADVANC	2568	2025	2.26264E+11	1.36467E+11	89797017455	57542895724	1.15297E+11	47890540422	-7972848024	16.1	1.2081E+11	-47235272684	73574336272	52703984960	1.07176E+11	1.02178E+11	52703984960	1.02178E+11	25353769967	4107423340	17916331573	43563132847	1.18626E+11	39.68686505	25.43177048	50.95683633	21.16579669	90.86701975	44.68421326	0.953371609	0.515805082	0.423477244	-7.217357656
CCET	2566	2023	4336167259	4098843103	237324156	40036284	120439648	31844941	-67287800	0.004980353	289900580	-86722169	203178411	1879083059	766329118	1297184352	1879083059	1297184352	294690846	446779927	905334150	885150194	515383230	5.473131958	0.923310417	2.777560016	0.734402967	1.694706407	4.155517551	1.692724864	1.448585975	0.925099809	-0.595000639
CCET	2567	2024	4209830539	3971637136	238193403	84032414	154983465	72816364	-32347489	0.007051726	261700491	-28306203	233394288	1844854139	767154075	1276086194	1844854139	1276086194	171556217	458691377	964580146	1062795055	484813044	5.658028293	1.996099682	3.681465645	1.729674468	3.946998435	9.491752227	1.663402745	1.445712796	0.890328857	-2.59780331
CCET	2568	2025	4254736565	4004117982	250618583	73398474	136879067	61484360	-24277860	0.006	95350343	-70904058	24446285	1796629802	784970392	1485632925	1796629802	1485632925	231982357	518869607	891052084	941483323	495830822	5.890343131	1.725100318	3.217098519	1.445080302	3.422205283	7.832697975	1.892597403	1.209336285	0.755929962	-3.023267866
DELTA	2566	2023	1.48167E+11	1.11731E+11	36436131104	19495708653	22582362778	18422539989	-109353449	1.48	13596134697	-7952653308	5643481389	75565948321	67538551340	36175544218	75565948321	36175544218	7617210826	32746509432	33237288997	32096498443	29681378931	24.59125984	13.15792931	15.2411558	12.43363261	24.37942009	27.27707305	0.535628075	2.088868321	1.129340296	-178.2816073
DELTA	2567	2024	1.66737E+11	1.22489E+11	44248598364	19748497048	24269542127	18938579925	-166977934	1.52	13312692497	-12003438081	1309254416	82531517967	79941813695	38126962829	82531517967	38126962829	15700903372	31697443577	32906076373	35793288147	37721164261	26.53791597	11.84408037	14.55555867	11.35833588	22.94708784	23.69045566	0.476933923	2.164649682	1.274871538	-118.2701006
DELTA	2568	2025	1.94799E+11	1.42011E+11	53606106526	28886850933	35557837764	24814323593	-63688723	1.99	31248499617	-14761509888	16486989729	1.04074E+11	96726906680	52268798410	1.04074E+11	52268798410	20288076252	34731292463	45936441351	45228476887	45687806063	27.51874624	14.82909266	18.25365015	12.73845684	23.84303096	25.65400305	0.540374961	1.991124712	1.266999044	-453.5630418
HANA	2566	2023	26632149035	23172094053	3460054982	1846035325	3482441574	1760567321	-51833631	2.143903911	3250291071	-3412617931	-162326860	23159369864	29146720499	5034054087	23159369864	5034054087	6954416159	8969347441	5178140817	3390545998	11701474654	12.9920232	6.931604816	13.07608173	6.610684398	7.60196556	6.040361629	0.172714254	4.600540531	2.410096667	-35.61462489
HANA	2567	2024	25452891840	22607046955	2845844885	-547500974	1140518425	-633672107	-64326712	-0.715717155	4877487479	-3194997405	1682490074	22419370331	27078246465	4097950096	22419370331	4097950096	6689073469	7096004054	4480721798	3026410310	9327585642	11.18083125	-2.151036422	4.480899193	-2.489587867	-2.826449172	-2.340151929	0.151337351	5.470874414	2.725703097	8.511253832
HANA	2568	2025	21231103716	18960447247	2270656469	721198371	2205297477	670398931	-13040042	0.757199205	3821561808	-3712564114	108997694	22335369163	26319402653	3806693615	22335369163	3806693615	4936500203	5803004466	4091081978	3155916939	8200555647	10.69495255	3.396895332	10.38710708	3.157626377	3.001512651	2.54716621	0.144634499	5.867393445	2.371502173	-55.30644541
JMART	2568	2025	15402603945	10945191386	4457412559	0	779393837	94671228	-1147559472	0	0	-141470901	-141470901	8629369365	32718512866	10465285262	8629369365	10465285262	828004087	1275337422	385280015	533213297	1691982729	28.93934412	0	5.060143335	0.614644305	1.097081652	0.289350645	0.319858219	0.824570869	0.115934164	0
JMART	2567	2024	14130876644	9677882096	4452994548	0	808689803	1965848062	-1121059338	0	0	-405962986	-405962986	8845582800	34114666017	14835388698	8845582800	14835388698	1419752927	957091443	683402938	653943522	1879157030	31.51251448	0	5.722856574	13.91172049	22.2240649	5.762471956	0.434868355	0.596248806	0.141766145	0
JMART	2566	2023	13743493935	9137994368	4605499567	0	776665210	599159923	-1069063653	0	0	-446315713	-446315713	10587303375	32727819158	11221909661	10587303375	11221909661	2044007855	1062866250	826724226	519916169	1325315247	33.51039837	0	5.651148199	4.359589533	5.659230701	1.830735865	0.342885959	0.94344935	0.255814934	0
KCE	2566	2023	16683361019	12940633602	3742727417	1878966602	1878966602	1747473205	-103794020	1.454727896	4213822013	-407913083	3805908930	10079424296	13749282711	4561935131	10079424296	4561935131	1766783801	3792514860	4378648427	2728403511	8124497954	22.43389334	11.26251838	11.26251838	10.47434748	17.33703388	12.70955905	0.331794409	2.209462433	1.347110832	-18.10284063
KCE	2567	2024	15210437290	11571188313	3639248977	1798142829	1798142829	1678403661	-51798468	1.394559495	3310198873	-786887541	2523311332	8955474983	13818059334	3985512983	8955474983	3985512983	1566087142	3674994039	3645929394	2843017598	7645373123	23.92599836	11.82176945	11.82176945	11.03455232	18.7416487	12.14644995	0.288427838	2.247006852	1.307740449	-34.71420871
KCE	2568	2025	13338577234	10606934382	2731642852	964728008	964728008	858844882	-36448849	0.704414518	2536605963	-936048981	1600556982	8577065298	13196158951	3672436800	8577065298	3672436800	1969257863	3705330768	2829083836	2552903596	7267230992	20.47926705	7.232615526	7.232615526	6.438804281	10.01327205	6.50829446	0.27829589	2.335524276	1.306582512	-26.46799651
THCOM	2566	2023	2946123700	1523577348	1102934322	491830657	774820300	353646708	127410464	0.322640341	1006910919	93248179	913662740	5551052159	10231158956	1441195966	5551052159	1441195966	3027774683	15227687	1015680925	494125596	2078667418	37.43679609	16.69416179	26.29965266	12.00379699	6.370804991	3.456565473	0.140863413	3.851698374	2.805625122	3.860206152
THCOM	2567	2024	2420346896	1542980861	869774365	115231927.4	409142372.4	-22836362.61	90776163	-0.020834159	1102128938	1763773651	-661644713	4711057078	10019171271	2019313970	4711057078	2019313970	2519167817	30244715	1065351298	577047638	4559176512	35.93593821	4.760967429	16.90428645	-0.943516099	-0.484739672	-0.227926662	0.20154501	2.332998805	1.775117277	1.269407338
THCOM	2568	2025	2583415259	1450708945	879585200	139385719	448680134	40092727	71453398	0.036577553	853340560	1286325801	-432985241	5094660750	10086544445	3215059589	5094660750	3215059589	3220424454	14535307	1267841781	661668944	5979219596	34.0473796	5.395405114	17.36771247	1.551927313	0.786955775	0.397487239	0.318747377	1.584624051	1.39601339	1.95072205
TRUE	2566	2023	169074127	122065497	122065497	-12727647	48889264	-14636563	-20525780	-0.416971879	52163429	-38190897	13972532	108963267	86140415	203130945	108963267	203130945	33579809	2281149	51793647	101386783	222628353	72.19643784	-7.527850196	28.91587546	-8.656891069	-13.43256622	-16.9915167	2.358137525	0.536418845	0.42028779	0.62008104
TRUE	2567	2024	206020295	145068907	145068907	-10772188	61252559	-10953710	-22825101	-0.317371701	78446199	-42965238	35480961	94008966	74184687	209411498	94008966	209411498	26831693	2584661	46188880	101100460	208701109	70.41486228	-5.228702347	29.73132283	-5.316811142	-11.6517716	-14.76545962	2.822839948	0.448919791	0.348694192	0.471944812
TRUE	2568	2025	195668607	130064511	130064511	6951396	77798243	9111483	-20599747	0.267435577	82089689	-58171657	23918032	71940498	75147452	170363434	71940498	170363434	17890903	1863659	36703877	82509158	195850393	66.47183368	3.552637343	39.76020691	4.656589087	12.66530432	12.12480631	2.267055362	0.422276637	0.320460669	-0.337450552
